,budget,popularity,runtime,revenue,rating,totalVotes
0,14000000,6.575393,93,12314651,5,482
1,40000000,8.248895,113,95149435,6.4,1528
2,3300000,64.29999,105,13092000,8.4,7314
3,1200000,3.174936,122,16000000,7.5,115
5,8000000,0.743274,83,3261638,5.1,8
6,14000000,7.286477,92,85446075,5.9,846
9,6000000,4.672036,91,18750246,6.9,107
10,1000000,14.774066,119,117235147,7.7,3388
12,15000000,20.726578,122,356296601,8,6016
13,53000000,13.314233,118,95226116,5.4,429
14,102000000,20.666063,145,358372926,7.3,4272
15,500000,1.018477,97,198,5.9,22
16,26000000,6.336927,85,57891803,6.2,807
18,8000000,6.496259,96,1749457,6.3,348
19,32000000,11.359659,87,85167639,6.2,1651
20,80000000,12.000579,130,136159423,5.2,584
21,4000000,7.99229,95,36690067,5.7,480
26,10000000,4.305735,110,13835130,7.1,110
27,11000000,10.841891,93,7847000,6.7,1095
28,6000000,6.759181,84,5849647,7,192
29,45000000,7.81862,89,94935764,6.1,466
30,13000000,16.086919,112,426480871,8.2,9202
32,90000000,13.412445,106,146936910,5.8,2057
34,140000000,9.718111,91,258022233,6.2,1343
35,30000000,8.234382,94,40346186,6.3,1158
37,50000000,13.676444,127,189859560,6.4,801
39,3800000,3.055936,123,14873,6.5,56
41,3000000,9.718713,126,16217773,7.8,593
42,25000000,2.971999,108,24362772,4.6,55
43,6000000,9.383088,92,1020921,5.9,138
44,15000000,5.615303,88,47175038,6.5,490
45,3906840,2.382068,95,4300000,6.2,41
46,80000000,16.646029,91,660940780,6.6,5358
47,44000000,20.328822,167,155760117,7.7,7425
49,38000000,8.105708,118,120000000,6.5,630
50,560000,1.572904,102,1500000,6.8,18
51,12000000,4.473327,160,25333333,7.4,100
54,20000000,8.759801,107,46069568,5.8,410
57,125000000,17.038824,125,238207122,4.2,2474
59,14000000,3.909079,95,25482931,6,65
60,150000000,23.065078,144,599045960,7.4,5654
61,4000000,1.801071,105,14400000,6.4,34
63,5000000,7.743144,100,14000000,4.8,338
64,12000000,11.160699,115,17654912,7.5,912
65,1500000,8.822276,92,11806119,6.7,632
66,12000000,5.145185,108,204940,5.8,157
68,2000000,14.284787,129,13129846,8.1,1214
69,85000000,2.238808,104,158468292,6.2,2897
70,29000000,12.092096,103,21126225,6.9,686
72,11000000,8.290384,85,8266343,6.4,656
74,445000,2.482536,84,2300000,5.5,13
75,17000000,9.665251,106,24922237,6,970
76,500000,0.660663,157,500000,6.9,13
77,6000000,10.451986,98,39846344,6.7,541
79,1500000,6.636625,102,779820,5.3,343
80,15000000,4.98408,118,9237470,6.4,129
81,10284523,4.349046,104,11588205,5.8,123
82,43000000,10.947957,104,91974818,6.5,961
83,28000000,7.482865,116,40400657,6.7,409
84,2000000,10.239941,85,13101672,5.2,175
